"future","playerID","firstName","lastName","name","team","logo","playerURL","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","circasports_odds","circasports_line","circasports_mult","circasports_winPct","circasports_win","circasports_odds_under","circasports_mult_under","circasports_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","6287","Adem","Bona","Adem Bona","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=10","/betting/nba/player/adem-bona-odds-6287",NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-07-15
"Most Improved Player","5723","Max","Christie","Max Christie","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=10","/betting/nba/player/max-christie-odds-5723",NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-07-15
"Most Improved Player","6592","Cedric","Coward","Cedric Coward","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/cedric-coward-odds-6592",NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-07-15
"Most Improved Player","5391","Quentin","Grimes","Quentin Grimes","LAL","https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=10","/betting/nba/player/quentin-grimes-odds-5391",NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-07-15
"Most Improved Player","5903","Taylor","Hendricks","Taylor Hendricks","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/taylor-hendricks-odds-5903",NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-07-15
"Most Improved Player","5946","GG","Jackson","GG Jackson","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/gg-jackson-odds-5946",NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-07-15
"Most Improved Player","6336","Daniss","Jenkins","Daniss Jenkins","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/daniss-jenkins-odds-6336",NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-07-15
"Most Improved Player","6543","Tre","Johnson","Tre Johnson","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=10","/betting/nba/player/tre-johnson-odds-6543",NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-07-15
"Most Improved Player","6268","Yves","Missi","Yves Missi","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=10","/betting/nba/player/yves-missi-odds-6268",NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-07-15
"Most Improved Player","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289",NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-07-15
