"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","5152","Deni","Avdija","Deni Avdija","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/deni-avdija-odds-5152","220","0.0",2.2,"23.1","44.00",NA,NA,NA,"220","0.0",2.2,"24.5","44.00",NA,NA,NA,"200","0.0",2,"27.0","40.00",NA,NA,NA,"220","0.0",2.2,"24.7","44.00",NA,NA,NA,"220","0.0",2.2,"24.7","44.00",NA,NA,NA,"220","0.0",2.2,"34.6","44.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","220","0.0",2.2,NA,"44.00",2025-12-14
"Most Improved Player","5703","Jalen","Duren","Jalen Duren","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=7","/betting/nba/player/jalen-duren-odds-5703","420","0.0",4.2,"14.2","84.00",NA,NA,NA,"500","0.0",5,"13.0","100.00",NA,NA,NA,"500","0.0",5,"13.5","100.00",NA,NA,NA,"500","0.0",5,"13.2","100.00",NA,NA,NA,"450","0.0",4.5,"14.3","90.00",NA,NA,NA,"500","0.0",5,"18.5","100.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","500","0.0",5,NA,"100.00",2025-12-14
"Most Improved Player","5334","Austin","Reaves","Austin Reaves","LAL","https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=7","/betting/nba/player/austin-reaves-odds-5334","470","0.0",4.7,"13.0","94.00",NA,NA,NA,"500","0.0",5,"13.0","100.00",NA,NA,NA,"500","0.0",5,"13.5","100.00",NA,NA,NA,"550","0.0",5.5,"12.2","110.00",NA,NA,NA,"500","0.0",5,"13.1","100.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","550","0.0",5.5,NA,"110.00",2025-12-14
"Most Improved Player","5329","Jalen","Johnson","Jalen Johnson","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/jalen-johnson-odds-5329","500","0.0",5,"12.3","100.00",NA,NA,NA,"500","0.0",5,"13.0","100.00",NA,NA,NA,"550","0.0",5.5,"12.5","110.00",NA,NA,NA,"470","0.0",4.7,"13.9","94.00",NA,NA,NA,"600","0.0",6,"11.3","120.00",NA,NA,NA,"600","0.0",6,"15.8","120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","600","0.0",6,NA,"120.00",2025-12-14
"Most Improved Player","5668","Ryan","Rollins","Ryan Rollins","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=7","/betting/nba/player/ryan-rollins-odds-5668","900","0.0",9,"7.4","180.00",NA,NA,NA,"1000","0.0",10,"7.1","200.00",NA,NA,NA,"1000","0.0",10,"7.4","200.00",NA,NA,NA,"1000","0.0",10,"7.2","200.00",NA,NA,NA,"1000","0.0",10,"7.2","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1000","0.0",10,NA,"200.00",2025-12-14
"Most Improved Player","5366","Josh","Giddey","Josh Giddey","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=7","/betting/nba/player/josh-giddey-odds-5366","1000","0.0",10,"6.7","200.00",NA,NA,NA,"1100","0.0",11,"6.5","220.00",NA,NA,NA,"1000","0.0",10,"7.4","200.00",NA,NA,NA,"1000","0.0",10,"7.2","200.00",NA,NA,NA,"1000","0.0",10,"7.2","200.00",NA,NA,NA,"1100","0.0",11,"9.2","220.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1100","0.0",11,NA,"220.00",2025-12-14
"Most Improved Player","5899","Keyonte","George","Keyonte George","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/keyonte-george-odds-5899","3000","0.0",30,"2.4","600.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"4000","0.0",40,"2.7","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","4000","0.0",40,NA,"800.00",2025-12-14
"Most Improved Player","4765","Nickeil","Alexander-Walker","Nickeil Alexander-Walker","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/nickeil-alexander-walker-odds-4765","6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"5000","0.0",50,"2.2","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","6000","0.0",60,NA,"1,200.00",2025-12-14
"Most Improved Player","5698","Bennedict","Mathurin","Bennedict Mathurin","IND","https://content.rotowire.com/images/teamlogo/basketball/100IND.png?v=7","/betting/nba/player/bennedict-mathurin-odds-5698","6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.8","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","6000","0.0",60,NA,"1,200.00",2025-12-14
"Most Improved Player","4125","Dillon","Brooks","Dillon Brooks","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=7","/betting/nba/player/dillon-brooks-odds-4125","7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","7500","0.0",75,NA,"1,500.00",2025-12-14
