"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","5329","Jalen","Johnson","Jalen Johnson","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/jalen-johnson-odds-5329","-115","0.0",0.869565217391304,"43.3","17.39",NA,NA,NA,"110","0.0",1.1,"39.6","22.00",NA,NA,NA,"-105","0.0",0.952380952380952,"0.0","19.05",NA,NA,NA,"-110","0.0",0.909090909090909,"44.3","18.18",NA,NA,NA,"240","0.0",2.4,"24.5","48.00",NA,NA,NA,"-105","0.0",0.952380952380952,"44.6","19.05",NA,NA,NA,"125","0.0",1.25,"35.5","25.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","240","0.0",2.4,NA,"48.00",2026-02-26
"Most Improved Player","5152","Deni","Avdija","Deni Avdija","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/deni-avdija-odds-5152","550","0.0",5.5,"12.4","110.00",NA,NA,NA,"450","0.0",4.5,"15.1","90.00",NA,NA,NA,"500","0.0",5,"0.0","100.00",NA,NA,NA,"550","0.0",5.5,"13.0","110.00",NA,NA,NA,"-120","0.0",0.833333333333333,"45.5","16.67",NA,NA,NA,"550","0.0",5.5,"13.4","110.00",NA,NA,NA,"600","0.0",6,"11.4","120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","600","0.0",6,NA,"120.00",2026-02-26
"Most Improved Player","4765","Nickeil","Alexander-Walker","Nickeil Alexander-Walker","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/nickeil-alexander-walker-odds-4765","1000","0.0",10,"7.4","200.00",NA,NA,NA,"1000","0.0",10,"7.6","200.00",NA,NA,NA,"1100","0.0",11,"0.0","220.00",NA,NA,NA,"1000","0.0",10,"7.7","200.00",NA,NA,NA,"1000","0.0",10,"7.6","200.00",NA,NA,NA,"1200","0.0",12,"6.7","240.00",NA,NA,NA,"1200","0.0",12,"6.1","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","1200","0.0",12,NA,"240.00",2026-02-26
"Most Improved Player","5899","Keyonte","George","Keyonte George","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=10","/betting/nba/player/keyonte-george-odds-5899","1400","0.0",14,"5.4","280.00",NA,NA,NA,"1400","0.0",14,"5.5","280.00",NA,NA,NA,"1500","0.0",15,"0.0","300.00",NA,NA,NA,"1500","0.0",15,"5.3","300.00",NA,NA,NA,"800","0.0",8,"9.3","160.00",NA,NA,NA,"1600","0.0",16,"5.1","320.00",NA,NA,NA,"1500","0.0",15,"5.0","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","1600","0.0",16,NA,"320.00",2026-02-26
"Most Improved Player","5703","Jalen","Duren","Jalen Duren","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/jalen-duren-odds-5703","300","0.0",3,"20.2","60.00",NA,NA,NA,"300","0.0",3,"20.8","60.00",NA,NA,NA,"300","0.0",3,"0.0","60.00",NA,NA,NA,"310","0.0",3.1,"20.6","62.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"290","0.0",2.9,"22.3","58.00",NA,NA,NA,"175","0.0",1.75,"29.0","35.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2000","0.0",20,NA,"400.00",2026-02-26
"Most Improved Player","5668","Ryan","Rollins","Ryan Rollins","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=10","/betting/nba/player/ryan-rollins-odds-5668","1200","0.0",12,"6.2","240.00",NA,NA,NA,"1000","0.0",10,"7.6","200.00",NA,NA,NA,"1200","0.0",12,"0.0","240.00",NA,NA,NA,"1500","0.0",15,"5.3","300.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"1600","0.0",16,"5.1","320.00",NA,NA,NA,"750","0.0",7.5,"9.4","150.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","5000","0.0",50,NA,"1,000.00",2026-02-26
"Most Improved Player","4125","Dillon","Brooks","Dillon Brooks","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/dillon-brooks-odds-4125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","6000","0.0",60,NA,"1,200.00",2026-02-26
"Most Improved Player","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"7000","0.0",70,"1.2","1,400.00",NA,NA,NA,"7500","0.0",75,"0.0","1,500.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"8000","0.0",80,"1.1","1,600.00",NA,NA,NA,"6600","0.0",66,"1.2","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","8000","0.0",80,NA,"1,600.00",2026-02-26
"Most Improved Player","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/collin-gillespie-odds-5732","8500","0.0",85,"0.9","1,700.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"6000","0.0",60,"0.0","1,200.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"8000","0.0",80,"1.1","1,600.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","10000","0.0",100,NA,"2,000.00",2026-02-26
"Most Improved Player","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","10000","0.0",100,NA,"2,000.00",2026-02-26
