"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","betr_odds","betr_line","betr_mult","betr_winPct","betr_win","betr_odds_under","betr_mult_under","betr_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","circasports_odds","circasports_line","circasports_mult","circasports_winPct","circasports_win","circasports_odds_under","circasports_mult_under","circasports_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","5938","Matas","Buzelis","Matas Buzelis","CHI","https://assets.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/matas-buzelis-odds-5938","2000","0.0",20,"19.1","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","2000","0.0",20,NA,"400.00",2026-09-24
"Most Improved Player","5644","Walker","Kessler","Walker Kessler","LAL","https://assets.rotowire.com/images/teamlogo/basketball/100LAL.png?v=10","/betting/nba/player/walker-kessler-odds-5644","2000","0.0",20,"19.1","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","2000","0.0",20,NA,"400.00",2026-09-24
"Most Improved Player","5354","Davion","Mitchell","Davion Mitchell","MIA","https://assets.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/davion-mitchell-odds-5354","2000","0.0",20,"19.1","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","2000","0.0",20,NA,"400.00",2026-09-24
"Most Improved Player","6592","Cedric","Coward","Cedric Coward","MEM","https://assets.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/cedric-coward-odds-6592","2200","0.0",22,"17.4","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","2200","0.0",22,NA,"440.00",2026-09-24
"Most Improved Player","6263","Zach","Edey","Zach Edey","MEM","https://assets.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/zach-edey-odds-6263","2500","0.0",25,"15.4","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","2500","0.0",25,NA,"500.00",2026-09-24
"Most Improved Player","4806","Naz","Reid","Naz Reid","CHA","https://assets.rotowire.com/images/teamlogo/basketball/100CHA.png?v=10","/betting/nba/player/naz-reid-odds-4806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3300","0.0",33,"60.0","660.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","3300","0.0",33,NA,"660.00",2026-09-24
"Most Improved Player","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://assets.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","4000","0.0",40,"9.8","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"40.0","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","5000","0.0",50,NA,"1,000.00",2026-09-24
